Date,Description,Amount,Type
2024-01-01,Salary Credit,120000,Credit
2024-01-02,House Rent,-25000,Debit
2024-01-03,Electricity Bill,-2100,Debit
2024-01-04,Groceries,-3200,Debit
2024-01-05,Mobile Recharge,-499,Debit
2024-01-06,Movie Tickets,-800,Debit
2024-01-07,Online Shopping,-4500,Debit
2024-01-08,Health Insurance,-3000,Debit
2024-01-09,Dining Out,-1200,Debit
2024-01-10,Car EMI Payment,-18000,Debit
2024-01-11,Internet Bill,-999,Debit
2024-01-12,Gym Membership,-2000,Debit
2024-01-13,Petrol,-2500,Debit
2024-01-14,Gift Purchase,-1500,Debit
2024-01-15,Salary Credit,120000,Credit
2024-01-16,House Rent,-25000,Debit
2024-01-17,Electricity Bill,-2200,Debit
2024-01-18,Groceries,-3300,Debit
2024-01-19,Mobile Recharge,-599,Debit
2024-01-20,Movie Tickets,-900,Debit
2024-01-21,Online Shopping,-4700,Debit
2024-01-22,Health Insurance,-3200,Debit
2024-01-23,Car EMI Payment,-18000,Debit
2024-01-24,Internet Bill,-1099,Debit
2024-01-25,Petrol,-2600,Debit
2024-01-26,Gift Purchase,-1700,Debit
2024-01-27,Salary Credit,125000,Credit
2024-01-28,House Rent,-26000,Debit
2024-01-29,Electricity Bill,-2300,Debit
2024-01-30,Groceries,-3400,Debit
2024-01-31,Mobile Recharge,-699,Debit
2024-02-01,Movie Tickets,-1000,Debit
2024-02-02,Online Shopping,-4800,Debit
2024-02-03,Health Insurance,-3500,Debit
2024-02-04,Car EMI Payment,-18500,Debit
2024-02-05,Internet Bill,-1199,Debit
2024-02-06,Petrol,-2700,Debit
2024-02-07,Gift Purchase,-1800,Debit
2024-02-08,Salary Credit,130000,Credit
2024-02-09,House Rent,-27000,Debit
2024-02-10,Electricity Bill,-2400,Debit
2024-02-11,Groceries,-3500,Debit
2024-02-12,Mobile Recharge,-799,Debit
2024-02-13,Movie Tickets,-1100,Debit
2024-02-14,Online Shopping,-4900,Debit
2024-02-15,Health Insurance,-3700,Debit
2024-02-16,Car EMI Payment,-19000,Debit
2024-02-17,Internet Bill,-1299,Debit
2024-02-18,Petrol,-2800,Debit
2024-02-19,Gift Purchase,-1900,Debit
